original_number,isin,name,mic,market_code,currency,instrument_type,ticker_bloomberg,ticker_google,yf_symbol,exchange_name
658,US3647601083,GAP INC,XNYS,USA-NYSE,USD,STOCK,GPS:US,GAP,GPS,NEW YORK STOCK EXCHANGE
676,CA39115V3092,GREAT PANTHER MINING LTD GREATPANTHER,XNYS,USA-NYSE,USD,STOCK,GPL:US,,GPL,NEW YORK STOCK EXCHANGE
707,US4432011082,HOWMET AEROSPACE INC HOWMET,XNYS,USA-NYSE,USD,STOCK,HHC:US,AEROS,HHC,NEW YORK STOCK EXCHANGE
731,GB00BVG7F061,INTERNATIONAL GAME TECHNOLOGY INT,XNYS,USA-NYSE,USD,STOCK,IGT:US,GAMETECH,IGT,NEW YORK STOCK EXCHANGE
744,US4778391049,JOHN BEAN TECHNOLOGIES CORP JOHN BEAN,XNYS,USA-NYSE,USD,STOCK,JBT:US,TE,JBT,NEW YORK STOCK EXCHANGE
749,US48238T1097,KAR AUCTION SERVICES INC KAR,XNYS,USA-NYSE,USD,STOCK,KAR:US,AUCTION,KAR,NEW YORK STOCK EXCHANGE
759,US49714P1084,KINSALE CAPITAL GROUP INC,XNYS,USA-NYSE,USD,STOCK,KIN:US,KINSALE,KIN,NEW YORK STOCK EXCHANGE
808,US5717481023,MARSH & MCLENNAN MARSH &,XNYS,USA-NYSE,USD,STOCK,MMC:US,MCLE,MMC,NEW YORK STOCK EXCHANGE
846,US62886E1082,NCR CORP NCR,XNYS,USA-NYSE,USD,STOCK,NCR:US,CORP,NCR,NEW YORK STOCK EXCHANGE
849,US64828T2015,NEW RESIDENTIAL INVESTMENT CORP NEW,XNYS,USA-NYSE,USD,STOCK,NRZ:US,RESIDENT,NRZ,NEW YORK STOCK EXCHANGE
880,US6907321029,OWENS & MINOR INC OWENS&MINOR,XNYS,USA-NYSE,USD,STOCK,OMI:US,,OMI,NEW YORK STOCK EXCHANGE
897,US7140461093,PERKINELMER INC PERKINELMER,XNYS,USA-NYSE,USD,STOCK,PKI:US,,PKI,NEW YORK STOCK EXCHANGE
961,US8085411069,SCHWEI-MAUDU,XNYS,USA-NYSE,USD,STOCK,SWM:US,,SWM,NEW YORK STOCK EXCHANGE
988,US8522341036,SQUARE INC SQUARE,XNYS,USA-NYSE,USD,STOCK,SQ:US,INC,SQ,NEW YORK STOCK EXCHANGE
1119,US0215131063,ALTO INGREDIENTS INC ALTO,XNAS,USA-NASDAQ,USD,STOCK,PEIX:US,INGREDI,PEIX,NASDAQ
1134,US03763A2078,APOLLO MEDICAL HOLDINGS INC APOLLO,XNAS,USA-NASDAQ,USD,STOCK,AMEH:US,MEDIC,AMEH,NASDAQ
1146,LU2607735342,ARRIVAL GROUP ARRIVALGROUP,XNAS,USA-NASDAQ,USD,STOCK,ARVL:US,,ARVL,NASDAQ
1181,US1143401024,BROOKS AUTOMATION INC BROOKS,XNAS,USA-NASDAQ,USD,STOCK,BRKS:US,AUTOM,BRKS,NASDAQ
1186,US1347481020,CANAAN INC,XNAS,USA-NASDAQ,USD,STOCK,CAAN:US,CANAAN,CAAN,NASDAQ
1226,US20337X1090,COMMSCOPE HOLDING COMMSCOPE,XNAS,USA-NASDAQ,USD,STOCK,COMM:US,HO,COMM,NASDAQ
1332,US6005441000,HERMAN MILLER HERMANMILLER,XNAS,USA-NASDAQ,USD,STOCK,MLHR:US,,MLHR,NASDAQ
1363,US4627261005,IROBOT CORP IROBOT,XNAS,USA-NASDAQ,USD,STOCK,IRBT:US,CORP,IRBT,NASDAQ
